Date,Stock,Action,Close
12/02/16,AMZN,Buy,25.35
10/02/16,AAPL,Sell,21.54
09/02/16,AAPL,Buy,21.71
05/02/16,AAPL,Sell,21.49
04/02/16,GOOGL,Sell,36.5
03/02/16,AAPL,Buy,21.9
02/02/16,GOOGL,Buy,39.05
01/02/16,GOOGL,Sell,38.54
29/01/16,NFLX,Buy,91.84
28/01/16,GOOGL,Buy,37.42
28/01/16,AAPL,Sell,21.39
28/01/16,AMZN,Sell,31.77
27/01/16,GOOGL,Sell,35.88
25/01/16,META,Buy,96.91
22/01/16,AMZN,Buy,29.82
22/01/16,AAPL,Buy,23.05
21/01/16,GOOGL,Buy,36.33
19/01/16,AAPL,Sell,21.97
15/01/16,META,Sell,94.87
14/01/16,META,Buy,98.27
14/01/16,AAPL,Buy,22.62
13/01/16,NFLX,Sell,106.56
13/01/16,AAPL,Sell,22.14
11/01/16,NFLX,Buy,114.97
11/01/16,AAPL,Buy,22.4
06/01/16,AAPL,Sell,22.89
04/01/16,GOOGL,Sell,37.97
04/01/16,AMZN,Sell,31.85
04/01/16,META,Sell,102.11
31/12/15,NFLX,Sell,114.38
29/12/15,NFLX,Buy,119.12
28/12/15,META,Buy,105.82
28/12/15,AMZN,Buy,33.76
28/12/15,GOOGL,Buy,39.11
23/12/15,AMZN,Sell,33.19
23/12/15,GOOGL,Sell,38.43
23/12/15,META,Sell,104.52
18/12/15,NFLX,Sell,118.02
15/12/15,AMZN,Buy,32.93
15/12/15,META,Buy,104.44
14/12/15,GOOGL,Buy,38.13
11/12/15,GOOGL,Sell,37.52
11/12/15,META,Sell,102.01
11/12/15,AMZN,Sell,32.01
10/12/15,META,Buy,105.31
08/12/15,META,Sell,106.38
01/12/15,META,Buy,107.01
30/11/15,META,Sell,104.13
13/11/15,NFLX,Buy,103.65
12/11/15,NFLX,Sell,108.92
09/11/15,NFLX,Buy,109.86
06/11/15,NFLX,Sell,114.06
05/11/15,AAPL,Buy,27.49
04/11/15,NFLX,Buy,114.05
03/11/15,NFLX,Sell,109.74
02/11/15,AAPL,Sell,27.43
30/10/15,AAPL,Buy,27.05
28/10/15,AAPL,Sell,27.0
26/10/15,AAPL,Buy,26.09
23/10/15,NFLX,Buy,100.04
22/10/15,AAPL,Sell,26.14
16/10/15,GOOGL,Sell,34.77
16/10/15,META,Sell,97.44
16/10/15,NFLX,Sell,98.99
16/10/15,AMZN,Sell,28.54
16/10/15,AAPL,Sell,25.13
